// source and thanks to: http://www.golombek.com/locations.html
Del Rio TX;+29.36690;-100.73000
Delavan WI;+49.65000;-88.63330
Delhi LA;+32.43300;-91.48300
Delta Jct AK;+64.03000;-145.72000
Delta UT;+39.33300;-112.58300
DeMotte IN;+41.20000;-87.17250
Denali Nat'l Park AK;+63.71000;-148.94000
Denton TX;+33.22000;-97.13670
Denver CO;+39.74940;-104.98900
Derby CT;+41.33300;-73.08300
Derby England;+52.81700;-1.33300
Derry NH;+42.88170;-71.32330
Des Moines IA;+41.58720;-93.61670
Des Plaines IL;+42.04330;-87.87000
Desiderio AAF S. Kore;+36.95000;+127.03330
Detroit MI;+42.33000;-83.04920
Devils Lake ND;+48.11000;-98.86330
Dhahran Saudi Arabia;+26.26000;+50.15000
Diamond Bar CA;+34.03800;-117.79700
Diamond Springs CA;+38.70170;-120.82400
Dickinson ND;+46.88000;-102.78800
Dickinson TX;+29.46940;-95.08250
Diego Garcia;-7.31670;+72.40000
Dien Bien Phu;21.38;103.01
Dijon France;+47.35000;+5.03330
Dillingham HI;+21.58330;-158.20000
Dillon MT;+45.20000;-112.66700
Dillon SC;+34.40000;-79.46700
Diyarbakir Turkey;+37.90000;+40.20000
Djakarta Indonesia;-6.15000;+106.85000
Djibouti;+11.56670;+43.00000
Dodge City KS;+37.75470;-100.01900
Doha Qatar;+25.26700;+51.56700
Dortmund Germany;+51.52000;+7.60000
Dothan AL;+31.21700;-85.38300
Douala Cameroon;+4.01700;+9.71700
Dover AFB DE;+39.13330;-75.46670
Dover DE;+39.13330;-75.55000
Dover England;+51.13330;+1.31670
Dover FL;+27.96660;-82.25830
Dover NH;+43.19170;-70.88000
Downey CA;+33.93500;-118.12500
Dryden ON;+49.77000;-92.83000
Dubai U.A.E.;+25.30000;+55.43330
Dublin Ireland;+53.43300;-6.25000
Dubrovnik Croatia;+42.56400;+18.25100
Dubuque IA;+42.50330;-90.67500
Duluth MN;+46.78220;-92.10670
Dundalk MD;+39.26700;-76.51700
Dunedin New Zealand;-45.93330;+170.20000
Dunlap IA;+41.88300;-95.55000
Durango CO;+37.25000;-107.91700
Durham NC;+36.00000;-78.91250
Durham NC;+36.00000;-78.91250
Dusseldorf Germany;+51.28300;+6.75000
Dutch Harbor AK;+53.91000;-166.54000
E. Brunswick NJ;+40.44000;-74.42000
E. Lansing MI;+42.73500;-84.48330
E. Las Vegas NV;+36.09500;-115.04200
E. Los Angeles CA;+34.02000;-118.15300
E. St Louis IL;+38.62170;-90.15500
E. Stroudsburg PA;+41.08330;-75.21670
E. Wenatchee WA;+47.20340;-120.05300
Eagan MN;+44.83000;-93.22000
Eagle River AK;+61.32170;-149.56700
Eagle AK;+64.70000;-141.33300
East Boston MA;+42.34300;-71.05000
East Orange NJ;+40.76330;-74.21000
East Point GA;+33.67670;-84.44330
Eastampton NJ;+39.58000;-74.40000
Eatonton GA;+33.08300;-83.25000
Eau Claire WI;+44.81330;-91.49500
Edina MN;+44.88330;-93.35000
Edinburgh Scotland;+55.95000;-3.16670
Edmond OK;+35.65330;-97.48170
Edmonds WA;+47.48000;-122.22000
Edmonton AB;+53.50000;-113.50000
Edmundston NB;+47.43000;-68.41000
Edna TX;+28.98500;-96.68330
Edwards AFB CA;+34.90000;-117.86700
Efate Vanuatu;-17.98000;+168.70000
Effingham IL;+39.08300;-88.50000
Eielson AFB AK;+64.67000;-147.10000
El Cajon CA;+32.79500;-116.96000
El Dorado AR;+33.20670;-92.66670
El Mirage AZ;+33.58750;-112.33600
El Monte CA;+34.06670;-118.02500
El Paso TX;+31.76000;-106.48600
Eldorado IL;+37.83300;-88.50000
Eldridge IA;+41.61200;-90.59000
Elgin AFB FL;+30.28350;-86.29050
Elgin IL;+42.03830;-88.29000
Elizabeth City NC;+36.25000;-76.25000
Elizabeth NJ;+40.66190;-74.21640
Elizabethtown KY;+37.69000;-85.87000
Elk City OK;+35.38300;-99.38300
Elk Point SD;+42.68300;-96.73300
Elk River ID;+46.78300;-116.18300
Elkhart IN;+41.66700;-86.00000
Elkins WV;+38.91700;-79.83300
Elko NV;+40.83000;-115.76000
Ellsworth AFB SD;+44.15000;-103.13300
Elmira NY;+42.08300;-76.83300
Elsmere DE;+39.74000;-75.59000
Elverson PA;+40.15330;-75.86300
Elyria OH;+41.36500;-82.11000
Enfield CT;+41.91700;-72.58300
Englewood CO;+39.65330;-104.98500
Enid OK;+36.39500;-97.87500
Entebbe Uganda;+0.05000;+32.45000
Ephrata PA;+40.11000;-76.10000
Erding Germany;+48.32000;+11.93300
Erfurt Germany;+50.97500;+10.95800
Erie PA;+42.12080;-80.08250
Escondido CA;+33.11670;-117.08500
Esfahan Iran;+32.75000;+51.86400
Essex Junction VT;+44.48830;-73.11170
Euclid OH;+41.57000;-81.53670
Eudora AR;+33.11700;-91.26700
Eugene OR;+44.06667;-123.06700
Eugene OR;+44.05440;-123.09200
Eureka CA;+40.75000;-124.16700
Eureka NV;+39.55000;-115.96700
Eureka UT;+39.91700;-112.16700
Evanston IL;+42.04330;-87.67670
Evanston WY;+41.02750;-111.03100
Evansville IN;+37.97220;-87.57250
Everett WA;+47.98000;-122.20000
Evergreen CO;+39.64110;-105.41600
Ewa HI;+21.33500;-158.04300
Exeter NH;+42.96600;-70.92000
Fair Haven VT;+43.58300;-73.25000
Fairbanks AK;+64.80000;-147.85000
Fairfax MN;+44.48300;-94.73300
Fairfax SC;+32.48300;-81.21700
Fairfield CA;+38.25000;-122.04200
Fairfield CT;+41.14170;-73.26330
Fairmont WV;+39.48330;-80.14330
Faith SD;+45.03300;-102.03300
Falcon CO;+38.94780;-104.56100
Fall River MA;+41.70170;-71.15500
Fallon NV;+39.50000;-118.80000
Falmouth KY;+38.66700;-84.33300
Fargo ND;+46.87500;-96.78830
Farmington NM;+36.73330;-108.20300
Farnborough England;+51.28000;-0.76300
Fayetteville AR;+36.06670;-94.16000
Fayetteville NC;+35.05500;-78.87670
Ferriday LA;+31.63300;-91.55000
Finningley England;+53.46700;-1.00000
Fisher LA;+31.46700;-93.50000
Fitchburg MA;+42.58300;-71.80000
Flagstaff AZ;+35.19330;-111.65200
Flint MI;+43.02170;-83.68330
Florala AL;+31.01700;-86.31700
Florence AL;+34.76700;-87.66700
Florence SC;+34.19670;-79.76830
Florissant MO;+38.78790;-90.32160
Flower Mound TX;+33.03000;-97.07000
Folsom NM;+36.78300;-103.93300
Fond du Lac WI;+43.78300;-88.48300
Ford Island HI;+21.36806;-157.96300
Forrest City AR;+35.00000;-90.76700
Forsyth MT;+46.25000;-106.68300
Fort Collins CO;+40.58000;-105.08300
Fort Dodge IA;+42.51700;-94.16700
Fort Greely AK;+64.00000;-145.72000
Fort Lauderdale FL;+26.12000;-80.13670
Fort McMurray AB;+56.73000;-111.27000
Fort McPherson NWT;+67.43000;-134.85000
Fort Myers FL;+26.60000;-81.75000
Fort Nelson BC;+58.80000;-122.63000
Fort Payne AL;+34.43300;-85.68300
Fort Richardson AK;+61.26000;-149.65000
Fort Riley KS;+39.08300;-96.76700
Fort Salonga NY;+40.90000;-73.30770
Fort Scott KS;+37.83300;-94.71700
Fort Simpson NWT;+61.76000;-121.25000
Fort Smith AR;+35.38500;-94.41830
Fort Yukon AK;+66.50000;-145.00000
Fountain Valley CA;+33.70000;-117.96000
Framingham MA;+42.27330;-71.41500
Frankfort KY;+38.20000;-84.86170
Frankfurt Germany;+50.03300;+8.56700
Franklin NH;+43.41700;-71.66700
Franklin TN;+35.90000;-86.90000
Frederick MD;+39.41500;-77.41670
Fredericksburg VA;+38.33300;-77.50000
Fredericktown MO;+37.53300;-90.26700
Fredericton NB;+45.85000;-66.43000
Freehold NJ;+40.25000;-74.26700
Freeport Bahamas;+26.55000;-78.70000
Freiburg Germany;+48.03000;+7.83300
Fremont CA;+37.53500;-121.95700
Fremont NE;+41.44000;-96.49500
Fresno CA;+36.73670;-119.77000
Fruitland Park FL;+28.86170;-81.91470
Ft Myers FL;+26.65100;-81.75300
Ft Wayne IN;+41.07250;-85.14050
Ft Worth TX;+32.74860;-97.32890
Fukuoka Japan;+33.58330;+130.45000
Fullerton CA;+33.87500;-117.92500
Funchal Madeira Is;+32.69200;-16.77300
Furth (Mfr) Germany;+49.48300;+11.98300
Gadsden AL;+34.01580;-86.01140
Gaillac France;+43.90000;+1.86670
